Date,CO2
1755-10-15,277.09227579533007
1755-11-15,277.08611241871483
1755-12-15,277.08000000000044
1756-01-15,277.07396226038685
1756-02-15,277.06799576503755
1756-03-15,277.0620902901067
1756-04-15,277.05623561174843
1756-05-15,277.05042150611706
1756-06-15,277.04463774936664
1756-07-15,277.0388741176515
1756-08-15,277.0331203871257
1756-09-15,277.0273663339435
1756-10-15,277.0216017342591
1756-11-15,277.0158163642267
1756-12-15,277.01000000000045
1757-01-15,277.0041458525712
1757-02-15,276.9982608722764
1757-03-15,276.9923554442899
1757-04-15,276.9864399537858
1757-05-15,276.9805247859381
1757-06-15,276.97462032592085
1757-07-15,276.968736958908
1757-08-15,276.9628850700736
1757-09-15,276.95707504459165
1757-10-15,276.95131726763606
1757-11-15,276.9456221243811
1757-12-15,276.94000000000045
1758-01-15,276.93446011636803
1758-02-15,276.92900704215606
1758-03-15,276.92364418273655
1758-04-15,276.9183749434815
1758-05-15,276.91320272976293
1758-06-15,276.9081309469527
1758-07-15,276.90316300042304
1758-08-15,276.89830229554576
1758-09-15,276.89355223769275
1758-10-15,276.8889162322363
1758-11-15,276.88439768454816
1758-12-15,276.8800000000004
1759-01-15,276.8757278023298
1759-02-15,276.87159058873175
1759-03-15,276.8675990747666
1759-04-15,276.8637639759945
1759-05-15,276.86009600797587
1759-06-15,276.85660588627076
1759-07-15,276.8533043264396
1759-08-15,276.8502020440425
1759-09-15,276.84730975463975
1759-10-15,276.8446381737916
1759-11-15,276.84219801705837
1759-12-15,276.8400000000002
1760-01-15,276.8380511280189
1760-02-15,276.83634356588215
1760-03-15,276.83486576819934
1760-04-15,276.8336061895795
1760-05-15,276.832553284632
1760-06-15,276.831695507966
1760-07-15,276.8310213141908
1760-08-15,276.83051915791566
1760-09-15,276.8301774937497
1760-10-15,276.82998477630235
1760-11-15,276.82992946018265
1760-12-15,276.83
1761-01-15,276.83018689855874
1761-02-15,276.8304888514442
1761-03-15,276.83090660243704
1761-04-15,276.83144089531794
1761-05-15,276.83209247386725
1761-06-15,276.8328620818657
1761-07-15,276.8337504630938
1761-08-15,276.8347583613322
1761-09-15,276.8358865203614
1761-10-15,276.837135683962
1761-11-15,276.8385065959146
1761-12-15,276.8399999999998
1762-01-15,276.84161794441275
1762-02-15,276.8433676950073
1762-03-15,276.8452578220519
1762-04-15,276.84729689581496
1762-05-15,276.849493486565
1762-06-15,276.85185616457045
1762-07-15,276.8543935000997
1762-08-15,276.85711406342125
1762-09-15,276.86002642480366
1762-10-15,276.8631391545151
1762-11-15,276.8664608228243
1762-12-15,276.8699999999995
1763-01-15,276.87376377749246
1763-02-15,276.8777533314879
1763-03-15,276.88196835935355
1763-04-15,276.8864085584572
1763-05-15,276.8910736261668
1763-06-15,276.89596325985025
1763-07-15,276.9010771568752
1763-08-15,276.9064150146097
1763-09-15,276.91197653042144
1763-10-15,276.9177614016784
1763-11-15,276.9237693257483
1763-12-15,276.92999999999904
1764-01-15,276.9364519456139
1764-02-15,276.94311897903754
1764-03-15,276.94999374053026
1764-04-15,276.9570688703521
1764-05-15,276.96433700876344
1764-06-15,276.97179079602415
1764-07-15,276.9794228723947
1764-08-15,276.98722587813506
1764-09-15,276.99519245350547
1764-10-15,277.00331523876605
1764-11-15,277.01158687417706
1764-12-15,277.0199999999986
1765-01-15,277.028547653009
1765-02-15,277.03722445605945
1765-03-15,277.0460254285191
1765-04-15,277.05494558975727
1765-05-15,277.0639799591431
1765-06-15,277.07312355604597
1765-07-15,277.0823713998351
1765-08-15,277.09171850987974
1765-09-15,277.1011599055491
1765-10-15,277.1106906062124
1765-11-15,277.1203056312391
1765-12-15,277.1299999999983
1766-01-15,277.1397683219711
1766-02-15,277.1496035670864
1766-03-15,277.1594982953845
1766-04-15,277.1694450669063
1766-05-15,277.1794364416921
1766-06-15,277.18946497978266
1766-07-15,277.19952324121857
1766-08-15,277.20960378604036
1766-09-15,277.2196991742886
1766-10-15,277.2298019660039
1766-11-15,277.2399047212269
1766-12-15,277.2499999999981
1767-01-15,277.26008160539243
1767-02-15,277.2701483126218
1767-03-15,277.28020013993233
1767-04-15,277.29023710557016
1767-05-15,277.3002592277815
1767-06-15,277.3102665248126
1767-07-15,277.32025901490954
1767-08-15,277.3302367163185
1767-09-15,277.34019964728566
1767-10-15,277.3501478260572
1767-11-15,277.3600812708792
1767-12-15,277.3699999999981
1768-01-15,277.3799052564478
1768-02-15,277.3898031824152
1768-03-15,277.3997011448749
1768-04-15,277.4096065108017
1768-05-15,277.4195266471703
1768-06-15,277.4294689209554
1768-07-15,277.4394406991318
1768-08-15,277.4494493486741
1768-09-15,277.45950223655717
1768-10-15,277.46960672975564
1768-11-15,277.4797701952443
1768-12-15,277.4899999999979
1769-01-15,277.5002973688044
1769-02-15,277.51063895770557
1769-03-15,277.52099528055606
1769-04-15,277.53133685121105
1769-05-15,277.5416341835252
1769-06-15,277.55185779135365
1769-07-15,277.5619781885512
1769-08-15,277.57196588897284
1769-09-15,277.58179140647337
1769-10-15,277.5914252549079
1769-11-15,277.60083794813113
1769-12-15,277.609999999998
1770-01-15,277.618887907211
1770-02-15,277.6275020978614
1770-03-15,277.6358489828884
1770-04-15,277.6439349732308
1770-05-15,277.6517664798276
1770-06-15,277.6593499136177
1770-07-15,277.66669168554006
1770-08-15,277.6737982065336
1770-09-15,277.6806758875373
1770-10-15,277.68733113949
1770-11-15,277.69377037333084
1770-12-15,277.69999999999857
1771-01-15,277.70602600234065
1771-02-15,277.71185265083784
1771-03-15,277.71748378787964
1771-04-15,277.7229232558553
1771-05-15,277.7281748971542
1771-06-15,277.7332425541656
1771-07-15,277.73813006927884
1771-08-15,277.7428412848832
1771-09-15,277.7473800433681
1771-10-15,277.75175018712287
1771-11-15,277.7559555585367
1771-12-15,277.759999999999
1772-01-15,277.76388308341825
1772-02-15,277.76758729877906
1772-03-15,277.7710908655851
1772-04-15,277.7743720033403
1772-05-15,277.77740893154834
1772-06-15,277.780179869713
1772-07-15,277.78266303733795
1772-08-15,277.7848366539271
1772-09-15,277.78667893898404
1772-10-15,277.7881681120127
1772-11-15,277.7892823925167
1772-12-15,277.78999999999985
1773-01-15,277.7903050899072
1773-02-15,277.79020556144866
1773-03-15,277.7897152497754
1773-04-15,277.78884799003856
1773-05-15,277.78761761738946
1773-06-15,277.7860379669792
1773-07-15,277.784122873959
1773-08-15,277.78188617348013
1773-09-15,277.7793417006937
1773-10-15,277.77650329075084
1773-11-15,277.7733847788029
1773-12-15,277.77000000000083
1774-01-15,277.76636067732323
1774-02-15,277.7624700850565
1774-03-15,277.7583293853145
1774-04-15,277.7539397402106
1774-05-15,277.74930231185886
1774-06-15,277.7444182623727
1774-07-15,277.7392887538659
1774-08-15,277.7339149484522
1774-09-15,277.72829800824525
1774-10-15,277.7224390953587
1774-11-15,277.7163393719063
1774-12-15,277.71000000000174
1775-01-15,277.70341886747207
1775-02-15,277.696580764998
1775-03-15,277.68946720897344
1775-04-15,277.6820597157926
1775-05-15,277.6743398018495
1775-06-15,277.6662889835381
1775-07-15,277.6578887772525
1775-08-15,277.64912069938674
1775-09-15,277.6399662663348
1775-10-15,277.63040699449095
1775-11-15,277.6204244002489
1775-12-15,277.610000000003
1776-01-15,277.59912473242946
